Subject,Accuracy (%),C,Gamma
aa,72.54901960784314,45.264930343869,0.001
al,60.29411764705882,46.54945782275696,0.01859005409903362
av,84.61538461538461,39.58295475339494,0.001
aw,94.11764705882352,7.200144664943174,0.02118451657279158
ay,77.77777777777779,62.26261808229354,0.5331980000659671
