Subject,Accuracy (%),C,Gamma
aa,70.58823529411765,67.08704475575018,0.001
al,60.29411764705882,17.249737042136708,0.07963284131009574
av,80.76923076923077,46.81488102760028,0.001
aw,94.11764705882352,90.89996959874588,0.001
ay,44.44444444444444,34.04567075969968,1.2750762062321526
